"","ppid","trial_num","block_num","trial_num_in_block","start_time","end_time","target_angle","angular_dev_h","plane_visible","high_targets","rotated_session"
"144",2,138,8,12,632.1222,635.5889,60,-21.9419633630583,TRUE,TRUE,FALSE
"145",2,229,10,1,906.9367,910.67,120,-12.8580631587512,FALSE,FALSE,TRUE
"146",2,230,10,2,910.67,913.57,100,-23.4520103571352,FALSE,FALSE,TRUE
"147",2,231,10,3,913.57,916.4704,80,-31.2880262388282,FALSE,FALSE,TRUE
"148",2,232,10,4,916.4704,919.4036,40,-5.70768647479398,FALSE,FALSE,TRUE
"149",2,233,10,5,919.4036,924.2701,140,-5.36034606338723,FALSE,FALSE,TRUE
"150",2,234,10,6,924.2701,927.4148,60,-11.4465808802185,FALSE,FALSE,TRUE
"151",2,235,10,7,927.4148,930.6927,60,-13.592258512126,FALSE,FALSE,TRUE
"152",2,236,10,8,930.6927,934.4598,120,4.61114218453041,FALSE,FALSE,TRUE
"153",2,237,10,9,934.4598,938.0928,80,-27.8898927789202,FALSE,FALSE,TRUE
"154",2,238,10,10,938.0928,943.0927,140,18.3317588491321,FALSE,FALSE,TRUE
"155",2,239,10,11,943.0927,947.3486,40,-2.60285546248866,FALSE,FALSE,TRUE
"156",2,240,10,12,947.3486,950.8708,100,-7.36554923559837,FALSE,FALSE,TRUE
"157",2,256,12,1,990.9375,995.0602,100,-49.2256740973367,TRUE,FALSE,TRUE
"158",2,257,12,2,995.0602,998.3044,80,-23.8195005426558,TRUE,FALSE,TRUE
"159",2,258,12,3,998.3044,1009.26,60,-27.4596934127428,TRUE,FALSE,TRUE
"160",2,259,12,4,1009.26,1013.905,40,-7.08611908830732,TRUE,FALSE,TRUE
"161",2,260,12,5,1013.905,1017.771,120,11.3255004791704,TRUE,FALSE,TRUE
"162",2,261,12,6,1017.771,1027.338,140,-5.64374571417537,TRUE,FALSE,TRUE
"163",2,262,12,7,1027.338,1032.038,80,-11.2702524577603,TRUE,FALSE,TRUE
"164",2,263,12,8,1032.038,1035.794,100,-15.4320379112729,TRUE,FALSE,TRUE
"165",2,264,12,9,1035.794,1049.872,60,5.4515726975451,TRUE,FALSE,TRUE
"166",2,265,12,10,1049.872,1053.383,120,11.7366686817647,TRUE,FALSE,TRUE
"167",2,266,12,11,1053.383,1056.405,40,-5.16569487954271,TRUE,FALSE,TRUE
"168",2,267,12,12,1056.405,1060.561,140,4.28469204490716,TRUE,FALSE,TRUE
"169",2,283,14,1,1100.161,1103.806,80,-33.9006423612244,FALSE,TRUE,TRUE
"170",2,284,14,2,1103.806,1107.039,60,-23.4889438805047,FALSE,TRUE,TRUE
"171",2,285,14,3,1107.039,1110.062,40,8.01278750418334,FALSE,TRUE,TRUE
"172",2,286,14,4,1110.062,1113.395,100,-9.05772016648299,FALSE,TRUE,TRUE
"173",2,287,14,5,1113.395,1117.661,140,1.62652509189945,FALSE,TRUE,TRUE
"174",2,288,14,6,1117.661,1121.006,120,-8.84830861653518,FALSE,TRUE,TRUE
"175",2,289,14,7,1121.006,1124.195,100,-22.1313210666325,FALSE,TRUE,TRUE
"176",2,290,14,8,1124.195,1127.495,60,-5.94585229307133,FALSE,TRUE,TRUE
"177",2,291,14,9,1127.495,1131.862,140,-5.11813546045445,FALSE,TRUE,TRUE
"178",2,292,14,10,1131.862,1135.273,80,-41.546290783294,FALSE,TRUE,TRUE
"179",2,293,14,11,1135.273,1145.995,120,8.92296029710468,FALSE,TRUE,TRUE
"180",2,294,14,12,1145.995,1149.417,40,13.7862460530726,FALSE,TRUE,TRUE
"181",2,310,16,1,1189.796,1197.74,140,-102.676214753561,TRUE,TRUE,TRUE
"182",2,311,16,2,1197.74,1201.285,120,-8.96248897457818,TRUE,TRUE,TRUE
