"","trial_num","block_num","trial_num_in_block","cursor_visibility","trial_type","rotation","1","2","3","4","5","6","7"
"56",56,2,11,"False","no_cursor_1_2",0,16.6758676959515,-14.4971516146678,8.32334977104676,0.462330723507279,8.69898280418111,-19.5139884580013,-9.56752146239097
"57",57,2,12,"False","no_cursor_1_2",0,5.03781590358226,-2.79241222059349,24.6890102473542,-10.6816859825666,-6.23289229541842,-34.571877821991,-31.2343714164356
"58",58,3,1,"True","topup_aligned_1_3",0,-7.81529354676688,-6.56629862074631,8.91492695714787,-1.51240848741317,-4.56094520316131,-16.2967453790678,-34.499679681748
"59",59,3,2,"True","topup_aligned_1_3",0,-5.52200806907096,-0.535458985564517,-6.17017509502961,-4.96974072811031,-6.89445107631268,-13.6324427803385,-12.2993433987989
"60",60,3,3,"True","topup_aligned_1_3",0,-3.00350582930696,3.19953970956257,-8.26996158698117,-1.51741412501214,4.16650488554869,-3.48932490579639,-12.185723309628
"61",61,3,4,"True","topup_aligned_1_3",0,8.47114463301484,-1.50304292128352,-5.51713597898807,-3.87852450284771,4.54804240912543,-3.01278750418335,-7.71567356354848
"62",62,3,5,"True","topup_aligned_1_3",0,-0.477453777309577,-1.90338884992427,-18.3274521769826,1.41880044348906,-9.55428967240177,-7.39959465988711,-16.1062741209676
"63",63,3,6,"True","topup_aligned_1_3",0,-0.868051449745536,-6.18861596324159,-10.4754472320411,-7.53410262663253,10.1179946038591,-6.91683720218634,-12.6463890323888
"64",64,3,7,"True","topup_aligned_1_3",0,6.68931539763406,-0.376940479597124,-5.13452743503449,-3.83726211732765,3.73507735498228,-4.2845136187706,-8.86605281683435
"65",65,3,8,"True","topup_aligned_1_3",0,-1.57174591481824,4.36015695566743,-5.31031157451106,-7.75667146259239,-3.79008162819154,-18.2015660830701,-11.7747339015675
"66",66,3,9,"True","topup_aligned_1_3",0,-4.82521692710982,-0.727526351350718,-8.77076328273215,4.15280223172483,7.94347181059042,-4.7322381424797,-15.0748494095508
"67",67,3,10,"True","topup_aligned_1_3",0,-3.28527647473842,-6.45881637871865,-9.27546341836829,0.186024604507523,-13.576784355158,-13.6213979292155,-10.9376674379569
"68",68,3,11,"True","topup_aligned_1_3",0,7.91750303482836,-5.31454566994475,2.35099906063478,-1.07416999837262,-1.11964468052916,-1.22632785989586,-5.13637849242772
"69",69,3,12,"True","topup_aligned_1_3",0,-5.99252744787894,2.73395756793174,-3.90757647669442,-6.72851209376869,2.0014573769686,-4.33231398318853,-7.71358140772112
"70",70,3,13,"True","topup_aligned_1_3",0,-3.60565167391225,0.181315152699,-15.2053827958339,-3.01278750418335,0.366102234831345,-8.84925847070106,-4.01958248783747
"71",71,3,14,"True","topup_aligned_1_3",0,-10.9902048803448,1.95421595735971,-5.43338119038535,7.78572916367708,1.35186187555924,-2.22230323247111,-9.86580694308438
"72",72,3,15,"True","topup_aligned_1_3",0,-5.07960786001458,-2.21475512731921,-15.6739611553497,-6.30051323458464,0.498211612613645,-11.676737830954,-2.10994284813327
"73",73,4,1,"False","no_cursor_1_4",0,-19.0085037420252,-14.7598919802543,14.7015062359294,-5.67396115534969,-0.945395900922833,-20.0311270467517,-1.84207611532777
"74",74,4,2,"False","no_cursor_1_4",0,-22.1566089328352,10.9513905391915,-4.76126896690107,9.60408815082944,-13.1013527118665,-23.5053920026992,-14.3731565262055
"75",75,4,3,"False","no_cursor_1_4",0,4.07595464722726,7.32318553291354,27.2105779632072,3.98602127721469,-21.0000848243523,5.48243839755992,-22.9235897151384
"76",76,4,4,"False","no_cursor_1_4",0,10.5328064855123,10.6703573438939,-9.17900802581075,0.287706447652539,-18.0393995689269,-17.7996440239106,8.69420397442342
